,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Goma,CD,61.83,overcast clouds,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
100,Foindu,SL,71.65,broken clouds,7.4108,-11.5422,
102,Santa Rosa,PH,88.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
104,Kahului,US,82.42,broken clouds,20.8947,-156.47,Maui Seaside Hotel
105,Nampula,MZ,66.15,clear sky,-15.1165,39.2666,Ruby Backpackers
106,Kiama,AU,71.26,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
107,Huilong,CN,72.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
109,Bengkulu,ID,79.63,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
111,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
112,Bon Accord,CA,64.17,scattered clouds,53.8335,-113.4187,
113,Camocim,BR,76.08,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
114,Lincoln,US,71.29,broken clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
115,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
121,Ribeira Grande,PT,69.53,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
123,Acarau,BR,77.56,overcast clouds,-2.8856,-40.12,castelo pizzaria
125,Cape Town,ZA,61.38,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
127,Bubaque,GW,81.01,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
129,Naze,JP,83.32,few clouds,28.3667,129.4833,Shishime Hotel
133,Santa Cruz,BO,74.66,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
135,Emerald,AU,76.33,clear sky,-23.5333,148.1667,The Irish Village
136,Salinas,US,69.89,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
137,Saurimo,AO,65.08,few clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
140,Laguna,US,83.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
141,Yulara,AU,66.29,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
143,Aden,YE,85.93,clear sky,12.7794,45.0367,Sama Emirate Hotel
144,Rotifunk,SL,73.35,overcast clouds,8.2333,-12.6833,
146,Ati,TD,78.55,overcast clouds,13.2154,18.3353,
147,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
150,Champerico,GT,80.69,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
151,Kyrylivka,UA,60.24,light rain,46.3759,35.3675,"Rok-Hotelʹ ""Kleopatra"""
152,Cartagena Del Chaira,CO,75.36,broken clouds,1.3349,-74.8429,HOTEL LA ROCA
155,Magan,ES,72.32,clear sky,39.9683,-3.931,Hotel Pattaya
156,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
159,Lima,PE,61.9,overcast clouds,-12.0432,-77.0282,Hotel Kamana
162,Marzuq,YE,71.47,clear sky,14.4,46.4667,حيد القفلة
164,San Patricio,US,78.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
165,Esperance,AU,60.64,broken clouds,-33.8667,121.9,Hospitality Esperance
166,Bambanglipuro,ID,81.64,overcast clouds,-7.95,110.2833,Puri Brata
167,Gamboma,CG,69.71,broken clouds,-1.8764,15.8644,Residence N'Keni
168,Ponta Do Sol,PT,68.63,broken clouds,32.6667,-17.1,Hotel do Campo
174,Maple Valley,US,73.53,clear sky,47.3927,-122.0464,Linda's By The Lake Bed & Breakfast
178,Cockburn Town,TC,83.23,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
180,Airai,TL,74.68,overcast clouds,-8.9266,125.4092,
182,Basco,PH,83.44,broken clouds,20.4487,121.9702,Nathaniel's Lodge
184,Kolokani,ML,77.13,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
188,Punjai Puliyampatti,IN,76.24,overcast clouds,11.35,77.2,¥@$★ HOME
189,Akyab,MM,80.82,broken clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
190,Vila Franca Do Campo,PT,75.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
192,Geraldton,AU,73.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
193,Tura,IN,72.3,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
194,Barkhan,PK,71.56,clear sky,29.8977,69.5256,Sardar
196,Akcaabat,TR,66.07,thunderstorm,41.0212,39.5715,AKOF APART
198,Ambilobe,MG,63.9,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
202,Christchurch,NZ,66.33,scattered clouds,-43.5333,172.6333,The George
204,Amuntai,ID,84.85,overcast clouds,-2.4177,115.2494,Hotel Balqis
205,Tutoia,BR,78.3,few clouds,-2.7619,-42.2744,Pousada Guará's
207,Maceio,BR,71.04,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
209,Eyl,SO,75.36,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
